player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
DQN,2,4,24,-6,3,4,0,False
Random2,2,4,13,19,0,2,1,False
Random3,2,4,1,3,1,2,0,False
Random4,2,4,26,3,2,2,1,False
DQN,2,5,14,-10,3,5,0,False
Random2,2,5,13,0,2,2,1,False
Random3,2,5,22,21,0,2,0,False
Random4,2,5,31,21,1,2,1,False
DQN,2,6,14,0,2,5,0,False
Random2,2,6,20,7,1,2,1,False
Random3,2,6,35,13,0,2,0,False
Random4,2,6,27,13,3,2,1,False
DQN,2,7,40,0,4,5,0,False
Random2,2,7,46,0,4,2,1,False
Random3,2,7,25,16,3,2,0,False
Random4,2,7,53,16,4,2,1,False
DQN,2,8,54,14,0,5,0,False
Random2,2,8,51,5,1,2,1,False
Random3,2,8,18,-7,3,2,0,False
Random4,2,8,57,-7,2,2,1,False
DQN,2,9,44,-10,3,6,0,False
Random2,2,9,55,4,1,2,1,False
Random3,2,9,19,1,2,2,0,False
Random4,2,9,78,1,0,2,1,False
DQN,2,10,46,2,2,6,0,False
Random2,2,10,55,0,3,2,1,False
Random3,2,10,27,8,0,2,0,False
Random4,2,10,84,8,1,2,1,False
DQN,2,11,47,1,3,7,0,False
Random2,2,11,58,3,1,2,1,False
Random3,2,11,29,2,2,2,0,False
Random4,2,11,94,2,0,2,1,False
DQN,2,12,47,0,2,7,0,False
Random2,2,12,64,6,1,2,1,False
Random3,2,12,46,17,0,2,0,False
Random4,2,12,87,17,3,2,1,False
DQN,2,13,47,0,2,7,0,False
Random2,2,13,83,19,0,2,1,False
Random3,2,13,39,-7,3,2,0,False
Random4,2,13,91,-7,1,2,1,False
DQN,2,13,49,2,2,7,0,True
Random2,2,13,78,-5,3,2,1,True
Random3,2,13,43,4,1,2,0,True
Random4,2,13,106,4,0,2,1,True
DQN,3,1,14,14,0,7,0,False
Random2,3,1,-2,-2,3,2,1,False
Random3,3,1,3,3,1,2,1,False
Random4,3,1,1,3,2,2,1,False
DQN,3,2,28,14,0,7,0,False
Random2,3,2,1,3,2,2,1,False
Random3,3,2,7,4,1,2,1,False
Random4,3,2,-4,4,3,2,1,False
DQN,3,3,28,0,2,7,0,False
Random2,3,3,7,6,1,2,1,False
Random3,3,3,25,18,0,2,1,False
Random4,3,3,-12,18,3,2,1,False
DQN,3,4,41,13,0,7,0,False
Random2,3,4,1,-6,3,2,1,False
Random3,3,4,26,1,2,2,1,False
Random4,3,4,-4,1,1,2,1,False
DQN,3,5,35,-6,3,8,0,False
Random2,3,5,3,2,2,2,1,False
Random3,3,5,30,4,1,2,1,False
Random4,3,5,12,4,0,2,1,False
DQN,3,6,35,0,3,9,0,False
Random2,3,6,7,4,1,2,1,False
Random3,3,6,40,10,0,2,1,False
Random4,3,6,14,10,2,2,1,False
DQN,3,7,28,-7,3,10,0,False
Random2,3,7,11,4,1,2,1,False
Random3,3,7,40,0,2,2,1,False
Random4,3,7,33,0,0,2,1,False
