player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random3,2,3,7,5,1,2,0,False
Random4,2,3,2,5,2,2,0,False
ISMCTS,2,4,-10,-8,3,17,2,False
Random2,2,4,45,4,1,2,0,False
Random3,2,4,10,3,2,2,0,False
Random4,2,4,19,3,0,2,0,False
ISMCTS,2,5,-4,6,1,17,2,False
Random2,2,5,45,0,2,2,0,False
Random3,2,5,20,10,0,2,0,False
Random4,2,5,19,10,2,2,0,False
ISMCTS,2,6,-10,-6,3,18,2,False
Random2,2,6,45,0,2,2,0,False
Random3,2,6,25,5,1,2,0,False
Random4,2,6,36,5,0,2,0,False
ISMCTS,2,7,-6,4,1,18,2,False
Random2,2,7,46,1,3,2,0,False
Random3,2,7,27,2,2,2,0,False
Random4,2,7,45,2,0,2,0,False
ISMCTS,2,8,-12,-6,3,19,2,False
Random2,2,8,51,5,1,2,0,False
Random3,2,8,31,4,2,2,0,False
Random4,2,8,58,4,0,2,0,False
ISMCTS,2,9,-12,0,2,20,2,False
Random2,2,9,60,9,0,2,0,False
Random3,2,9,31,0,2,2,0,False
Random4,2,9,65,0,1,2,0,False
ISMCTS,2,10,-11,1,2,21,2,False
Random2,2,10,64,4,1,2,0,False
Random3,2,10,32,1,2,2,0,False
Random4,2,10,75,1,0,2,0,False
ISMCTS,2,10,5,-10,7,22,3,True
Random2,2,10,90,0,4,2,0,True
Random3,2,10,32,26,0,2,0,True
Random4,2,10,101,26,4,2,0,True
ISMCTS,3,1,-6,-6,3,23,3,False
Random2,3,1,4,4,1,2,0,False
Random3,3,1,18,18,0,2,0,False
Random4,3,1,0,18,2,2,0,False
ISMCTS,3,2,-7,-1,3,24,3,False
Random2,3,2,4,0,1,2,0,False
Random3,3,2,18,0,1,2,0,False
Random4,3,2,17,0,0,2,0,False
ISMCTS,3,3,-3,4,1,24,3,False
Random2,3,3,4,0,3,2,0,False
Random3,3,3,19,1,2,2,0,False
Random4,3,3,28,1,0,2,0,False
ISMCTS,3,4,-2,1,2,25,3,False
Random2,3,4,5,1,2,2,0,False
Random3,3,4,29,10,0,2,0,False
Random4,3,4,32,10,1,2,0,False
ISMCTS,3,5,2,4,1,25,3,False
Random2,3,5,5,0,3,2,0,False
Random3,3,5,40,11,0,2,0,False
Random4,3,5,33,11,2,2,0,False
ISMCTS,3,6,2,0,3,26,3,False
Random2,3,6,9,4,1,2,0,False
Random3,3,6,43,3,2,2,0,False
Random4,3,6,42,3,0,2,0,False
ISMCTS,3,7,-1,-3,3,27,3,False
Random2,3,7,12,3,1,2,0,False
Random3,3,7,43,0,2,2,0,False
Random4,3,7,58,0,0,2,0,False
ISMCTS,3,8,0,1,2,27,3,False
Random2,3,8,6,-6,3,2,0,False
Random3,3,8,57,14,0,2,0,False
