player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random4,1,11,67,14,1,0,0,False
ISMCTS,1,12,13,0,2,9,1,False
DQN,1,12,84,21,4,11,0,False
Random3,1,12,23,-10,1,0,0,False
Random4,1,12,72,-10,3,0,0,False
ISMCTS,1,13,8,-5,1,9,1,False
DQN,1,13,84,0,2,11,0,False
Random3,1,13,23,0,2,0,0,False
Random4,1,13,93,0,4,0,0,False
ISMCTS,1,14,14,6,3,10,1,False
DQN,1,14,90,6,3,12,0,False
Random3,1,14,24,1,1,0,0,False
Random4,1,14,96,1,2,0,0,False
ISMCTS,1,14,14,0,2,10,2,True
DQN,1,14,93,3,3,12,0,True
Random3,1,14,16,-8,1,0,0,True
Random4,1,14,117,-8,4,0,0,True
ISMCTS,2,1,6,6,3,10,2,False
DQN,2,1,9,9,4,13,0,False
Random3,2,1,0,0,1,0,0,False
Random4,2,1,1,0,2,0,0,False
ISMCTS,2,2,16,10,4,11,2,False
DQN,2,2,13,4,3,13,0,False
Random3,2,2,0,0,1,0,0,False
Random4,2,2,3,0,2,0,0,False
ISMCTS,2,3,8,-8,1,11,2,False
DQN,2,3,15,2,2,13,0,False
Random3,2,3,3,3,3,0,0,False
Random4,2,3,22,3,4,0,0,False
ISMCTS,2,4,6,-2,1,11,2,False
DQN,2,4,15,0,2,13,0,False
Random3,2,4,20,17,4,0,0,False
Random4,2,4,23,17,3,0,0,False
ISMCTS,2,5,11,5,3,11,2,False
DQN,2,5,15,0,1,13,0,False
Random3,2,5,27,7,4,0,0,False
Random4,2,5,27,7,2,0,0,False
ISMCTS,2,6,15,4,3,11,2,False
DQN,2,6,5,-10,1,13,0,False
Random3,2,6,49,22,4,0,0,False
Random4,2,6,27,22,2,0,0,False
ISMCTS,2,7,18,3,3,11,2,False
DQN,2,7,3,-2,1,13,0,False
Random3,2,7,64,15,4,0,0,False
Random4,2,7,27,15,2,0,0,False
ISMCTS,2,8,31,13,4,12,2,False
DQN,2,8,9,6,3,13,0,False
Random3,2,8,57,-7,1,0,0,False
Random4,2,8,31,-7,2,0,0,False
ISMCTS,2,9,33,2,3,12,2,False
DQN,2,9,10,1,2,13,0,False
Random3,2,9,70,13,4,0,0,False
Random4,2,9,31,13,1,0,0,False
ISMCTS,2,10,24,-9,1,12,2,False
DQN,2,10,24,14,4,14,0,False
Random3,2,10,81,11,3,0,0,False
Random4,2,10,31,11,2,0,0,False
ISMCTS,2,11,37,13,4,13,2,False
DQN,2,11,29,5,2,14,0,False
Random3,2,11,88,7,3,0,0,False
Random4,2,11,22,7,1,0,0,False
ISMCTS,2,12,37,0,1,13,2,False
DQN,2,12,35,6,3,14,0,False
Random3,2,12,88,0,1,0,0,False
Random4,2,12,32,0,4,0,0,False
ISMCTS,2,12,30,-7,1,13,3,True
DQN,2,12,41,6,3,14,0,True
Random3,2,12,103,15,4,0,0,True
Random4,2,12,34,15,2,0,0,True
ISMCTS,3,1,0,0,2,13,3,False
DQN,3,1,19,19,4,15,0,False
Random3,3,1,-3,-3,1,0,0,False
Random4,3,1,0,-3,2,0,0,False
ISMCTS,3,2,-9,-9,1,13,3,False
DQN,3,2,37,18,4,16,0,False
Random3,3,2,-1,2,2,0,0,False
Random4,3,2,5,2,3,0,0,False
ISMCTS,3,3,-5,4,2,13,3,False
DQN,3,3,37,0,1,16,0,False
Random3,3,3,3,4,2,0,0,False
Random4,3,3,13,4,4,0,0,False
ISMCTS,3,4,-10,-5,1,13,3,False
DQN,3,4,41,4,3,16,0,False
Random3,3,4,20,17,4,0,0,False
Random4,3,4,13,17,2,0,0,False
ISMCTS,3,5,-10,0,2,13,3,False
DQN,3,5,40,-1,1,16,0,False
Random3,3,5,36,16,4,0,0,False
Random4,3,5,14,16,3,0,0,False
ISMCTS,3,6,2,12,3,13,3,False
DQN,3,6,30,-10,1,16,0,False
Random3,3,6,36,0,2,0,0,False
Random4,3,6,28,0,4,0,0,False
ISMCTS,3,7,3,1,2,13,3,False
DQN,3,7,35,5,3,16,0,False
Random3,3,7,53,17,4,0,0,False
Random4,3,7,21,17,1,0,0,False
ISMCTS,3,8,-1,-4,1,13,3,False
DQN,3,8,48,13,4,17,0,False
Random3,3,8,54,1,2,0,0,False
Random4,3,8,27,1,3,0,0,False
ISMCTS,3,9,-1,0,2,13,3,False
DQN,3,9,48,0,2,17,0,False
Random3,3,9,45,-9,1,0,0,False
Random4,3,9,52,-9,4,0,0,False
ISMCTS,3,10,6,7,4,14,3,False
DQN,3,10,52,4,2,17,0,False
Random3,3,10,45,0,1,0,0,False
Random4,3,10,57,0,3,0,0,False
ISMCTS,3,11,7,1,3,14,3,False
DQN,3,11,52,0,1,17,0,False
Random3,3,11,45,0,1,0,0,False
Random4,3,11,72,0,4,0,0,False
ISMCTS,3,12,20,13,4,15,3,False
DQN,3,12,45,-7,1,17,0,False
Random3,3,12,48,3,2,0,0,False
Random4,3,12,79,3,3,0,0,False
ISMCTS,3,13,25,5,3,15,3,False
DQN,3,13,45,0,1,17,0,False
Random3,3,13,58,10,4,0,0,False
