player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
ISMCTS,0,1,17,17,0,0,0,False
Random,0,1,7,7,1,0,0,False
ISMCTS,0,2,17,0,2,0,0,False
Random,0,2,11,4,1,0,0,False
ISMCTS,0,3,20,3,1,0,0,False
Random,0,3,11,0,3,1,0,False
ISMCTS,0,3,34,14,0,0,0,True
Random,0,3,9,-2,3,2,0,True
ISMCTS,1,1,-10,-10,3,1,0,False
Random,1,1,0,0,2,2,0,False
ISMCTS,1,2,-6,4,2,1,0,False
Random,1,2,16,16,0,2,0,False
ISMCTS,1,2,-9,-3,3,2,1,True
Random,1,2,17,1,1,2,0,True
ISMCTS,2,1,-10,-10,3,3,1,False
Random,2,1,1,1,1,2,0,False
ISMCTS,2,1,-6,4,1,3,2,True
Random,2,1,1,0,2,2,0,True
ISMCTS,3,1,-9,-9,3,4,2,False
Random,3,1,5,5,2,2,0,False
ISMCTS,3,2,-8,1,2,4,2,False
Random,3,2,11,6,1,2,0,False
ISMCTS,3,2,-4,4,1,4,3,True
Random,3,2,25,14,0,2,0,True
ISMCTS,4,1,-10,-10,3,5,3,False
Random,4,1,4,4,1,2,0,False
ISMCTS,4,2,-16,-6,3,6,3,False
Random,4,2,4,0,2,2,0,False
ISMCTS,4,2,-25,-9,3,7,4,True
Random,4,2,4,0,2,2,0,True
ISMCTS,5,1,4,4,2,7,4,False
Random,5,1,-10,-10,3,3,0,False
ISMCTS,5,2,7,3,1,7,4,False
Random,5,2,-11,-1,3,4,0,False
ISMCTS,5,2,-2,-9,3,8,4,True
Random,5,2,-11,0,2,4,1,True
ISMCTS,6,1,14,14,0,8,4,False
Random,6,1,0,0,2,4,1,False
ISMCTS,6,2,20,6,1,8,4,False
Random,6,2,16,16,0,4,1,False
ISMCTS,6,2,23,3,2,8,4,True
Random,6,2,30,14,0,4,1,True
ISMCTS,7,1,-9,-9,3,9,4,False
Random,7,1,1,1,2,4,1,False
ISMCTS,7,1,3,12,1,9,4,True
Random,7,1,1,0,2,4,1,True
ISMCTS,8,1,7,7,1,9,4,False
Random,8,1,14,14,0,4,1,False
ISMCTS,8,2,8,1,1,10,4,False
Random,8,2,15,1,1,5,1,False
ISMCTS,8,3,8,0,2,10,4,False
Random,8,3,18,3,1,5,1,False
ISMCTS,8,3,-2,-10,3,11,5,True
Random,8,3,22,4,2,5,1,True
ISMCTS,9,1,-7,-7,3,12,5,False
Random,9,1,4,4,1,5,1,False
ISMCTS,9,1,-9,-2,3,13,6,True
Random,9,1,4,0,1,5,1,True
